mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,36,123.3294,0.9997,49.9852,96.0101,217.3525,100.0000,0.5213,57.4182,10,109.7905,50,-0.012333
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,37,126.9349,0.9997,49.9852,101.7047,226.9517,100.0000,0.5272,64.4738,12,152.2925,50,-0.012693
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,38,122.6535,0.9997,49.9852,104.9292,232.2903,100.0000,0.5026,65.6622,12,123.7124,50,-0.012265
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,39,112.1261,0.9997,49.9852,93.9910,213.8277,100.0000,0.5027,61.3551,16,94.2326,50,-0.011213
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,40,106.0080,0.9997,49.9852,93.1510,212.2773,100.0000,0.5002,62.7941,12,77.6600,50,-0.010601
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,41,133.5369,0.9997,49.9852,106.7725,235.5509,100.0000,0.5049,58.8707,15,166.5060,50,-0.013354
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,42,112.0193,0.9997,49.9852,94.6475,214.8594,100.0000,0.5163,60.6268,12,110.8481,50,-0.011202
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,43,113.9272,0.9997,49.9852,99.2787,222.7548,100.0000,0.5192,62.9738,17,155.3086,50,-0.011393
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,44,148.9723,0.9997,49.9852,125.1276,266.8788,100.0000,0.5420,68.1984,11,196.8934,50,-0.014897
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,45,114.2871,0.9997,49.9852,104.7099,232.0585,100.0000,0.5033,62.8770,13,146.5655,50,-0.011429
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,46,114.9268,0.9997,49.9852,100.9371,225.4373,100.0000,0.5058,63.6604,15,92.7764,50,-0.011493
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,47,125.6561,0.9997,49.9852,107.3658,236.5274,100.0000,0.5454,59.7846,11,124.4261,50,-0.012566
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,48,124.0856,0.9997,49.9852,105.7889,233.7401,100.0000,0.5042,61.0382,13,133.6696,50,-0.012409
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,49,122.2662,0.9997,49.9852,94.6415,214.9538,100.0000,0.5036,64.7687,13,77.1185,50,-0.012227
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,0,111.1888,0.9997,49.9852,90.6322,208.2100,100.0000,0.5084,51.6008,15,101.0707,50,-0.011119
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,1,116.9954,0.9997,49.9852,93.0775,212.3654,100.0000,0.5060,53.6673,14,89.0889,50,-0.011700
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,2,103.8910,0.9997,49.9852,92.2474,210.9026,100.0000,0.5021,48.4534,15,71.4429,50,-0.010389
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,3,109.3548,0.9997,49.9852,90.7992,208.4620,100.0000,0.5003,43.8955,11,71.6522,50,-0.010935
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,4,122.6966,0.9997,49.9852,97.3533,219.6406,100.0000,0.5305,58.0217,16,84.3825,50,-0.012270
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,5,114.8580,0.9997,49.9852,91.1407,209.2332,100.0000,0.5004,51.7431,16,96.0234,50,-0.011486
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,6,115.3704,0.9997,49.9852,87.4515,202.8972,100.0000,0.5339,42.6008,13,80.7809,50,-0.011537
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,7,105.7175,0.9997,49.9852,93.8732,213.6001,100.0000,0.5004,59.3405,13,80.3375,50,-0.010572
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,8,104.6210,0.9997,49.9852,88.9506,205.2973,100.0000,0.5041,47.3999,17,68.4602,50,-0.010462
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,9,121.9192,0.9997,49.9852,94.7428,215.2007,100.0000,0.5043,50.0609,16,80.7995,50,-0.012192
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,10,106.0171,0.9997,49.9852,94.4415,214.6275,100.0000,0.5009,46.2981,14,58.2316,50,-0.010602
