policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,57.60545053284204,18,0.004762072692664096,0.004955000674194915,35.08533730452246,38.887131210862364,88.00450926501023,0.9872310141564943,-53.27744116284187,36.95681616142508,184.7840808071254,49.36155070782471,6.4,32.0,82.11912619819394,DynamicDuopoly,50,1.0,1.0,0.0,30010,42.557136937900545,49.92396477061556,2.5537971687011716,-0.004255713693789994,0.68
rl,test,35.7455209127711,14,0.004775862683865753,0.004654050722353481,35.32914326496718,32.928655182693184,69.59628234122098,0.9655237382225343,25.773929160872303,30.653995584697306,153.26997792348652,48.276186911126715,6.4,32.0,71.79568948548477,DynamicDuopoly,50,0.5361552622626775,0.6344530815241464,0.36554691847585363,30011,106.26604420885212,36.542867107789334,6.895252355493163,-0.010626604420885217,0.68
rl,test,37.026452100629285,14,0.004593437321759795,0.004593434116547089,31.710580571692375,31.710485440865536,72.73130763097541,0.987588545760112,9.435933846019093,33.22163559145802,166.10817795729008,49.3794272880056,7.2,36.0,66.4873695238556,DynamicDuopoly,50,0.6601762832140095,0.7829984834005383,0.21700151659946162,30012,90.94683102850654,38.60697074304833,2.4822908479775387,-0.009094683102850299,0.64
rl,test,55.979435248101254,17,0.004715422285610099,0.004614132312946692,34.128348494887604,32.132207483430186,76.94289390309406,0.9770158254816895,-1.6163018964734548,33.399709884751516,166.9985494237576,48.85079127408448,6.4,32.0,72.97661672514698,DynamicDuopoly,50,0.6013148968881722,0.7250720961027513,0.2749279038972488,30013,84.5549580088677,41.774715116929976,4.596834903662109,-0.008455495800887001,0.68
rl,test,62.086308050220396,17,0.004687214845635577,0.004622622962040772,33.57051039527574,32.29769003692973,82.11333145450254,0.9827618691112672,1.673118465363452,35.48771955522434,177.4385977761217,49.13809345556336,6.800000000000001,34.0,76.46763227752638,DynamicDuopoly,50,0.5800073843043576,0.7000092301674571,0.29999076983254297,30014,92.61859574228991,45.21013154395557,3.4476261777465815,-0.009261859574228978,0.66
rl,test,67.89980590698178,18,0.004531783835640941,0.004596361700603779,30.489900993649172,31.762418356696784,81.90241821455108,0.9878931097187501,4.745620453672693,34.97006837764256,174.85034188821282,49.394655485937506,6.4,32.0,74.75367850343882,DynamicDuopoly,50,0.6059126165397266,0.7301223767256529,0.269877623274347,30015,94.47783313338053,45.940766245815894,2.42137805625,-0.00944778331333809,0.72
rl,test,80.97959790065897,20,0.004902514798752879,0.004924551823919842,37.86367152403224,38.29779366905303,89.95200185243458,0.9900708366080897,-44.705986941985095,38.38707786446522,191.9353893223261,49.50354183040449,7.2,36.0,79.68065078945074,DynamicDuopoly,50,0.8089400825083213,0.8930267691317738,0.10697323086822615,30016,53.53869946500726,50.67177586414712,1.9858326783820315,-0.005353869946500883,0.64
rl,test,50.0381688339362,17,0.004544477509809542,0.004569214667685121,30.738644705319416,31.226055114160495,84.26548497829086,0.9872310141564943,-2.932943741926967,35.723674161307805,178.61837080653902,49.36155070782471,6.4,32.0,79.62467003786601,DynamicDuopoly,50,0.6088886968564662,0.7333331275842183,0.2666668724157817,30017,89.21035362028084,47.465826032199104,2.5537971687011716,-0.008921035362028117,0.68
rl,test,65.76821071835457,22,0.004763518063211753,0.004841081723886328,35.10292706480633,36.63126212721027,75.08078033135443,0.9821275058945618,-42.8157802988287,33.52752821423155,167.63764107115776,49.10637529472809,7.2,36.0,71.07967909171671,DynamicDuopoly,50,0.8650151756936089,0.927209068076515,0.07279093192348496,30018,41.697618049709014,40.21137131321905,3.5744988210876563,-0.004169761804970927,0.64
rl,test,52.96723924841899,16,0.004443883900497627,0.004499190008006755,28.73980231549931,29.829530606664665,73.10396285351516,0.9724189905780272,10.495124721643984,32.228556152761755,161.1427807638088,48.620949528901356,6.800000000000001,34.0,67.01667243772778,DynamicDuopoly,50,0.7672345361310071,0.8655369585493423,0.1344630414506577,30019,93.89900837130888,38.85912561250704,5.516201884394532,-0.009389900837130717,0.68
rl,test,56.17307662776511,12,0.004349093332559877,0.004374743527534941,26.85044273738536,27.355881186181094,76.4108521348183,0.9627656372803369,40.03092460273415,33.20447268611051,166.02236343055256,48.13828186401685,6.800000000000001,34.0,72.37074150006194,DynamicDuopoly,50,0.6179986708434033,0.7428977880131923,0.2571022119868076,30020,127.8435398973777,40.36127006460142,7.446872543932618,-0.01278435398973785,0.66
rl,test,75.35513537423503,19,0.00447746535901742,0.004580687883575355,29.41272333221369,31.446702283810332,80.84103589329844,0.9908063301926758,-34.263018670661744,35.33313196247223,176.66565981236113,49.54031650963379,6.800000000000001,34.0,72.44804924137276,DynamicDuopoly,50,0.6749888987992726,0.7957946067791574,0.20420539322084252,30021,54.47352539321694,44.76467813994119,1.838733961464844,-0.005447352539321634,0.66
rl,test,58.73033080831647,20,0.004626292036016929,0.004624678732982338,32.36424627806663,32.332412053818715,83.88442809715323,0.9862094952890138,-34.10215470259184,36.4601877039313,182.30093851965648,49.31047476445069,6.800000000000001,34.0,74.65599841655715,DynamicDuopoly,50,1.0,1.0,0.0,30022,58.183565735908125,46.26743179236976,2.758100942197266,-0.0058183565735906535,0.66
rl,test,60.17864022757476,17,0.004575263254043151,0.004628518732339503,31.354061033817942,32.40358221940014,75.70027812894735,0.9846772169877929,3.8837887661960133,32.35785659341741,161.78928296708705,49.23386084938964,6.4,32.0,76.75050047640386,DynamicDuopoly,50,0.5892815797199287,0.7112836715412819,0.28871632845871814,30023,87.88868456185196,42.182482599796344,3.064556602441406,-0.008788868456185088,0.68
rl,test,35.953331313693525,20,0.004621958648795936,0.00478084017135123,32.29365806657059,35.42447146676626,83.82006042607186,0.9875885457601123,-18.098383805832594,36.7431059350115,183.7155296750575,49.379427288005616,7.2,36.0,73.23575872059651,DynamicDuopoly,50,0.8044360961596039,0.8901513143381705,0.10984868566182938,30024,74.36363862385592,46.03662564669755,2.482290847977539,-0.007436363862385385,0.64
