policy,seed_set,seed,shortfall_bps,completion_rate
lookahead,final,90153,128.1270,1.0000
twap,final,90153,119.3977,1.0000
stochastic_planner,final,90154,87.1849,1.0000
lookahead,final,90154,80.0822,1.0000
twap,final,90154,92.6941,1.0000
stochastic_planner,final,90155,93.1901,1.0000
lookahead,final,90155,90.2087,1.0000
twap,final,90155,111.4017,1.0000
stochastic_planner,final,90156,107.7133,1.0000
lookahead,final,90156,113.6342,1.0000
twap,final,90156,125.1362,1.0000
stochastic_planner,final,90157,69.2944,1.0000
lookahead,final,90157,70.0159,1.0000
twap,final,90157,89.9077,1.0000
stochastic_planner,final,90158,89.0156,1.0000
lookahead,final,90158,74.2175,1.0000
twap,final,90158,116.6852,1.0000
stochastic_planner,final,90159,102.4948,1.0000
lookahead,final,90159,100.4844,1.0000
twap,final,90159,121.5411,1.0000
stochastic_planner,final,90160,72.8262,1.0000
lookahead,final,90160,91.3477,1.0000
twap,final,90160,94.2499,1.0000
stochastic_planner,final,90161,121.0638,1.0000
lookahead,final,90161,120.9081,1.0000
twap,final,90161,117.8719,1.0000
stochastic_planner,final,90162,102.5017,1.0000
lookahead,final,90162,112.4615,1.0000
twap,final,90162,106.5907,1.0000
stochastic_planner,final,90163,137.4255,1.0000
lookahead,final,90163,143.5516,1.0000
twap,final,90163,141.1481,1.0000
stochastic_planner,final,90164,140.4257,1.0000
lookahead,final,90164,133.2128,1.0000
twap,final,90164,114.2563,1.0000
stochastic_planner,final,90165,84.8482,1.0000
lookahead,final,90165,81.7903,1.0000
twap,final,90165,96.1483,1.0000
stochastic_planner,final,90166,86.5632,1.0000
lookahead,final,90166,92.1597,1.0000
twap,final,90166,114.0310,1.0000
stochastic_planner,final,90167,72.8417,1.0000
lookahead,final,90167,75.2257,1.0000
twap,final,90167,110.2499,1.0000
stochastic_planner,final,90168,94.8492,1.0000
lookahead,final,90168,91.6000,1.0000
twap,final,90168,107.9919,1.0000
stochastic_planner,final,90169,65.4394,1.0000
lookahead,final,90169,67.0632,1.0000
twap,final,90169,99.5022,1.0000
stochastic_planner,final,90170,86.0088,1.0000
lookahead,final,90170,83.2500,1.0000
twap,final,90170,115.2264,1.0000
stochastic_planner,final,90171,137.0226,1.0000
lookahead,final,90171,152.3233,1.0000
twap,final,90171,127.1406,1.0000
stochastic_planner,final,90172,83.1308,1.0000
lookahead,final,90172,72.5366,1.0000
twap,final,90172,105.5733,1.0000
stochastic_planner,final,90173,92.3822,1.0000
lookahead,final,90173,87.5092,1.0000
twap,final,90173,107.6265,1.0000
stochastic_planner,final,90174,134.7109,1.0000
lookahead,final,90174,142.5539,1.0000
twap,final,90174,105.4892,1.0000
stochastic_planner,final,90175,115.5716,1.0000
lookahead,final,90175,109.4846,1.0000
twap,final,90175,110.4051,1.0000
stochastic_planner,final,90176,87.6826,1.0000
lookahead,final,90176,77.2822,1.0000
twap,final,90176,106.8143,1.0000
stochastic_planner,final,90177,121.2108,1.0000
lookahead,final,90177,116.0337,1.0000
twap,final,90177,111.3671,1.0000
stochastic_planner,final,90178,142.1560,1.0000
lookahead,final,90178,149.5565,1.0000
twap,final,90178,124.8589,1.0000
stochastic_planner,final,90179,80.1973,1.0000
lookahead,final,90179,72.5361,1.0000
twap,final,90179,93.0040,1.0000
stochastic_planner,final,90180,75.2382,1.0000
lookahead,final,90180,58.1738,1.0000
twap,final,90180,98.9607,1.0000
stochastic_planner,final,90181,68.2238,1.0000
lookahead,final,90181,58.9742,1.0000
twap,final,90181,100.3832,1.0000
stochastic_planner,final,90182,96.6683,1.0000
lookahead,final,90182,86.7246,1.0000
twap,final,90182,120.6135,1.0000
stochastic_planner,final,90183,110.0665,1.0000
lookahead,final,90183,119.1526,1.0000
twap,final,90183,117.2352,1.0000
stochastic_planner,final,90184,122.6116,1.0000
lookahead,final,90184,121.0537,1.0000
twap,final,90184,125.2009,1.0000
stochastic_planner,final,90185,99.0237,1.0000
lookahead,final,90185,97.6182,1.0000
twap,final,90185,109.0285,1.0000
stochastic_planner,final,90186,140.1259,1.0000
lookahead,final,90186,135.0720,1.0000
twap,final,90186,124.3504,1.0000
stochastic_planner,final,90187,105.7515,1.0000
lookahead,final,90187,110.1614,1.0000
twap,final,90187,108.7840,1.0000
stochastic_planner,final,90188,79.2781,1.0000
lookahead,final,90188,85.1449,1.0000
twap,final,90188,109.5491,1.0000
stochastic_planner,final,90189,75.0720,1.0000
lookahead,final,90189,62.5370,1.0000
