policy,agent_order,seed,shortfall_bps,completion_rate,forced_terminal_cost_bps,wait_share
dqn_order_random,random,90301,96.5216,1.0,1.9417,0.76
dqn_order_random,random,90302,85.8248,1.0,3.2005,0.72
dqn_order_random,random,90303,132.2097,1.0,5.9494,0.78
dqn_order_random,random,90304,71.8423,1.0,5.831,0.7
dqn_order_random,random,90305,99.4895,1.0,1.8893,0.74
dqn_order_random,random,90306,46.394,1.0,1.0027,0.74
dqn_order_random,random,90307,36.428,1.0,1.9997,0.74
dqn_order_random,random,90308,246.5414,1.0,167.0309,0.86
dqn_order_random,random,90309,114.2426,1.0,2.8376,0.74
dqn_order_random,random,90310,96.277,1.0,2.2514,0.7
dqn_order_random,random,90311,127.1266,1.0,15.4745,0.76
dqn_order_random,random,90312,57.9924,1.0,-0.1707,0.74
dqn_order_random,random,90313,126.7172,1.0,9.7557,0.76
dqn_order_random,random,90314,22.4628,1.0,-1.7403,0.74
dqn_order_random,random,90315,83.1557,1.0,5.5844,0.8
dqn_order_random,random,90316,67.3025,1.0,3.2285,0.76
dqn_order_random,random,90317,117.9424,1.0,2.8844,0.74
dqn_order_random,random,90318,118.839,1.0,5.3016,0.74
dqn_order_random,random,90319,90.0365,1.0,2.6625,0.74
dqn_order_random,random,90320,214.2809,1.0,73.6717,0.82
dqn_order_random,random,90321,180.4743,1.0,105.1716,0.8
dqn_order_random,random,90322,124.515,1.0,2.3556,0.76
dqn_order_random,random,90323,48.5562,1.0,0.5235,0.7
dqn_order_random,random,90324,103.246,1.0,2.7658,0.74
dqn_order_random,random,90325,227.0695,1.0,86.6297,0.84
dqn_order_random,random,90326,89.9836,1.0,1.3225,0.74
dqn_order_random,random,90327,126.488,1.0,3.29,0.76
dqn_order_random,random,90328,76.8189,1.0,3.4487,0.74
dqn_order_random,random,90329,120.2082,1.0,3.7192,0.76
dqn_order_random,random,90330,88.7178,1.0,0.9776,0.72
dqn_order_random,random,90331,101.7378,1.0,4.1651,0.74
dqn_order_random,random,90332,74.4948,1.0,2.6271,0.7
dqn_order_random,random,90333,45.1597,1.0,0.7945,0.74
dqn_order_random,random,90334,57.9127,1.0,1.632,0.74
dqn_order_random,random,90335,113.5616,1.0,4.8026,0.74
dqn_order_random,random,90336,78.1256,1.0,1.8023,0.76
dqn_order_random,random,90337,97.113,1.0,1.9862,0.74
dqn_order_random,random,90338,102.8224,1.0,5.6043,0.72
dqn_order_random,random,90339,59.2204,1.0,2.3775,0.76
dqn_order_random,random,90340,52.1012,1.0,0.6679,0.68
dqn_order_random,random,90341,101.6923,1.0,3.4354,0.72
dqn_order_random,random,90342,107.5749,1.0,3.7371,0.74
dqn_order_random,random,90343,69.2119,1.0,1.6104,0.72
dqn_order_random,random,90344,125.5845,1.0,17.8005,0.78
dqn_order_random,random,90345,112.3963,1.0,10.1163,0.74
dqn_order_random,random,90346,92.8476,1.0,3.0075,0.72
dqn_order_random,random,90347,77.6367,1.0,3.1808,0.74
dqn_order_random,random,90348,110.7823,1.0,3.7249,0.72
dqn_order_random,random,90349,142.8086,1.0,5.2004,0.76
dqn_order_random,random,90350,65.3181,1.0,1.4889,0.76
dqn_order_random,random,90351,138.6835,1.0,5.9899,0.72
dqn_order_random,random,90352,165.4857,1.0,5.8523,0.78
dqn_order_random,random,90353,103.5033,1.0,3.6307,0.76
dqn_order_random,random,90354,194.7969,1.0,78.2467,0.88
dqn_order_random,random,90355,75.6104,1.0,3.4663,0.76
dqn_order_random,random,90356,122.8789,1.0,3.6484,0.7
dqn_order_random,random,90357,86.064,1.0,1.9231,0.74
dqn_order_random,random,90358,99.3178,1.0,2.5876,0.76
dqn_order_random,random,90359,105.9988,1.0,3.7611,0.72
dqn_order_random,random,90360,93.845,1.0,3.6799,0.76
dqn_order_random,random,90361,108.3388,1.0,4.1341,0.72
dqn_order_random,random,90362,46.3242,1.0,1.5716,0.74
dqn_order_random,random,90363,108.1044,1.0,2.0303,0.72
dqn_order_random,random,90364,84.3456,1.0,2.3452,0.72
dqn_order_random,random,90365,89.2436,1.0,2.4266,0.74
dqn_order_random,random,90366,63.0552,1.0,4.7387,0.78
dqn_order_random,random,90367,99.6632,1.0,3.1999,0.76
dqn_order_random,random,90368,34.5601,1.0,0.586,0.72
dqn_order_random,random,90369,106.1374,1.0,2.9883,0.74
dqn_order_random,random,90370,96.9515,1.0,2.8687,0.8
dqn_order_random,random,90371,72.0753,1.0,0.4103,0.74
