policy,seed,shortfall_bps,completion_rate
q_learner_fine,90106,107.9639,1.0000
clairvoyant,90106,93.9056,1.0000
twap,90107,120.0216,1.0000
lookahead,90107,117.3789,1.0000
two_step,90107,119.4756,1.0000
three_step,90107,117.2643,1.0000
q_learner,90107,116.5387,1.0000
q_learner_fine,90107,118.3785,1.0000
clairvoyant,90107,104.7512,1.0000
twap,90108,109.4740,1.0000
lookahead,90108,84.6230,1.0000
two_step,90108,106.5565,1.0000
three_step,90108,88.1064,1.0000
q_learner,90108,116.4553,1.0000
q_learner_fine,90108,99.6201,1.0000
clairvoyant,90108,46.0141,1.0000
twap,90109,117.4961,1.0000
lookahead,90109,124.4885,1.0000
two_step,90109,123.6408,1.0000
