pool,treated,tier,class,fr12_usd,fr4_usd,sw12,old,covered
0x18bbe20f81bdcb340325e28a6ee6bb426b7ccbc1,1,3000,weth-pair,22677.64,8296.62,8705,1,1
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,0,100,weth-pair,61310.47,20022.63,11663,1,1
0x561599fff95a3104a43025dddf277332fe5ece2a,1,3000,weth-pair,4646.55,1424.27,6387,1,1
0x33676385160f9d8f03a0db2821029882f7c79e93,1,3000,other,47030.38,14981.34,6608,1,1
0x975c822e26a514e7a1b75be587aefc738a73eee7,1,3000,other,2859.1,212.82,4675,1,1
0x5aaa28ca43c6646fd1403e508f0fca1d92357dde,1,10000,weth-pair,54959.75,11646.27,9160,1,1
0xb5d957d6e4129c739a0b87ffb7ff33c7cea8816f,1,10000,other,82434.05,1025.74,18312,0,1
0x68131ea0840a4f5d3ae7bb8260e8d3e2a674a5f1,1,10000,other,176497.18,876.4,7382,0,1
0x0d47fedc9f84ceb8c95719bb6b684b50645cf2f0,1,3000,other,812.75,0.0,655,0,1
0x29567ae23d65225870c5bd738a6debe7ac5a1d66,1,10000,weth-pair,16179.86,1790.31,4779,1,1
0xb07fe2f407f971125d4eb1977f8acee8846c7324,0,3000,other,10256.55,7.63,5935,1,1
0xac5a2c404ebba22a869998089ac7893ff4e1f0a7,1,3000,other,12305.39,58.88,7902,1,1
0x65f53f9edf81b6b4b2a7d40c3ca56054d4c93b9a,1,3000,other,4485.89,1580.91,4169,1,1
0x87b1d1b59725209879cc5c5adeb99d8bc9eccf12,1,10000,weth-pair,156322.55,21109.94,11313,1,1
0xd0a4c8a1a14530c7c9efdad0ba37e8cf4204d230,1,3000,other,92231.73,36786.04,6449,1,1
0x6c1bcf1b99d9f0819459dad661795802d232437e,1,3000,weth-pair,2298.18,518.2,3104,1,1
0x9f2ebe69a86c079f3d4c3b94a11932b676b72f74,1,10000,weth-pair,18842.55,5170.65,5577,1,1
0xae4045ffeddf61d570e6d1fe2d71ded1a2e85a88,1,500,weth-pair,850.61,124.05,11085,1,1
0x1f195908f2ee7a6fc15d33b30c82298f568e805c,1,500,other,2207.1,1147.98,1281,0,1
0x3e386db445ebb088e2afdbb8951f8413d18d963f,1,3000,other,0.0,0.0,4705,0,0
0x0a55882f4e1117adc54afbbac4a39079ad52fb89,1,3000,weth-pair,10171.93,3714.46,7990,1,1
0x08612fcb3b676c7f21acb216be0dd4c989891084,1,10000,weth-pair,5161.02,1735.83,2569,0,1
0x3735fab379c75db7a423178182b60bf6ae451850,1,3000,other,3849.26,322.16,5286,0,1
0x70cf99553471fe6c0d513ebfac8acc55ba02ab7b,1,10000,weth-pair,28446.34,2756.05,8889,1,1
0x14243ea6bb3d64c8d54a1f47b077e23394d6528a,1,3000,other,0.0,0.0,7216,1,0
0xa3ccaf08a54cf31649f91ae1570a0720c8d4eb1e,1,10000,other,0.0,0.0,7525,0,0
0x4edab94d75b850865dd221bf74b240c167557638,1,10000,weth-pair,11399.9,3513.83,5130,0,1
0x38c0e310345d54e8068d236f0923bb5480ba1188,0,100,other,505.43,239.64,7982,0,1
0x1dee9d7b7cfd8febf38982bc8ab715ec8c3050d1,0,3000,other,536.83,1.0,678,0,1
0x35b88354c51613fe8857e02668c68e8c52161ba2,1,3000,weth-pair,1679.88,441.34,4779,1,1
0x6279653c28f138c8b31b8a0f6f8cd2c58e8c1705,1,500,other,1346.77,422.65,2751,1,1
0xfd76be67fff3bac84e3d5444167bbc018f5968b6,1,10000,weth-pair,26457.35,5389.91,5217,1,1
0xc3abd8c07f0d669906f4be495389f2dcc598020f,1,10000,weth-pair,34482.81,11059.62,5964,1,1
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,0,3000,weth-pair,5710.21,1581.02,6459,1,1
0x510100d5143e011db24e2aa38abe85d73d5b2177,1,3000,weth-pair,17892.69,4101.0,6403,1,1
0x38f44ebeca8cfbec93ae86aa6f00ccb55c2a4d22,1,10000,weth-pair,14730.54,4481.79,2808,1,1
0x2a8ff49323d42be0af7a1b2f3005b67da55e0c6b,1,3000,weth-pair,13158.55,2818.97,7910,1,1
0xc64350c0eab6faed8f17cc2cdff0761c53fb4152,1,10000,weth-pair,14248.75,3035.82,5926,1,1
0x2322e5517a3cbc75a3f02d74c96f82dda120d841,1,3000,other,41190.81,14206.74,6522,1,1
0x000ba527862e5b82cff0f7c66b646af023274aa1,1,3000,weth-pair,12164.1,4675.66,7062,1,1
0x20c42d3513e9e7fafff82173aa5327f02d5163e3,1,3000,other,11653.62,3092.15,6754,0,1
0x97a5a0b2d7ed3accb7fd6404a1f5ca29320905af,1,10000,weth-pair,92610.61,36370.02,3486,1,1
