gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
0,2,2,1,1,6,0.002222,2
0,2,2,1,1,10,0.000000,0
0,2,2,1,1,20,0.000098,1
0,2,2,1,1,30,0.006649,6
0,2,2,1,2,3,0.011213,10
0,2,2,1,2,6,0.000000,0
0,2,2,1,2,10,0.000000,0
0,2,2,1,2,20,0.001942,2
0,2,2,1,2,30,0.002021,1
0,2,2,1,3,3,0.000129,1
0,2,2,1,3,6,0.000210,1
0,2,2,1,3,10,0.006203,10
0,2,2,1,3,20,0.000197,1
0,2,2,1,3,30,0.000005,2
0,2,2,1,4,3,0.000000,0
0,2,2,1,4,6,0.004870,7
0,2,2,1,4,10,0.000000,0
0,2,2,1,4,20,0.000000,0
0,2,2,1,4,30,0.000000,0
0,2,2,2,0,3,0.006915,8
0,2,2,2,0,6,0.027241,38
0,2,2,2,0,10,0.000476,2
0,2,2,2,0,20,0.007813,8
0,2,2,2,0,30,0.004272,6
0,2,2,2,1,3,0.032898,61
0,2,2,2,1,6,0.002518,3
0,2,2,2,1,10,0.007722,9
0,2,2,2,1,20,0.004002,6
0,2,2,2,1,30,0.008705,7
0,2,2,2,2,3,0.008115,6
0,2,2,2,2,6,0.003088,7
0,2,2,2,2,10,0.019105,36
0,2,2,2,2,20,0.002030,1
0,2,2,2,2,30,0.002698,3
0,2,2,2,3,3,0.033090,75
0,2,2,2,3,6,0.004600,6
0,2,2,2,3,10,0.003618,8
0,2,2,2,3,20,0.007380,9
0,2,2,2,3,30,0.004800,8
0,2,2,2,4,3,0.003187,5
0,2,2,2,4,6,0.030736,56
0,2,2,2,4,10,0.002856,4
0,2,2,2,4,20,0.000123,2
0,2,2,2,4,30,0.005875,5
0,2,3,0,2,3,0.001867,1
0,2,3,0,2,6,0.000000,0
0,2,3,0,2,10,0.000000,0
0,2,3,0,2,20,0.000000,0
0,2,3,0,2,30,0.000000,0
0,2,3,1,0,3,0.008133,8
0,2,3,1,0,6,0.000000,0
0,2,3,1,0,10,0.000000,0
0,2,3,1,0,20,0.000860,1
0,2,3,1,0,30,0.000000,0
0,2,3,1,1,3,0.005888,7
0,2,3,1,1,6,0.000000,0
0,2,3,1,1,10,0.000000,0
0,2,3,1,1,20,0.000000,0
0,2,3,1,1,30,0.000000,0
0,2,3,1,2,3,0.000000,0
0,2,3,1,2,6,0.000590,2
0,2,3,1,2,10,0.000000,0
0,2,3,1,2,20,0.000000,0
0,2,3,1,2,30,0.000000,0
0,2,3,1,3,3,0.000000,0
0,2,3,1,3,6,0.003867,3
0,2,3,1,3,10,0.000000,0
0,2,3,1,3,20,0.000000,0
0,2,3,1,3,30,0.000000,0
0,2,3,1,4,3,0.000000,0
0,2,3,1,4,6,0.001751,1
0,2,3,1,4,10,0.000000,0
0,2,3,1,4,20,0.000000,0
0,2,3,1,4,30,0.000000,0
0,2,3,2,0,3,0.000000,0
0,2,3,2,0,6,0.000216,2
0,2,3,2,0,10,0.000000,0
0,2,3,2,0,20,0.000000,0
0,2,3,2,0,30,0.000000,0
0,2,3,2,2,3,0.001613,1
0,2,3,2,2,6,0.000000,0
0,2,3,2,2,10,0.000000,0
0,2,3,2,2,20,0.000000,0
0,2,3,2,2,30,0.000000,0
0,2,3,2,3,3,0.000000,0
0,2,3,2,3,6,0.000020,1
0,2,3,2,3,10,0.000000,0
0,2,3,2,3,20,0.000000,0
0,2,3,2,3,30,0.000000,0
1,0,0,0,1,3,0.040624,850
1,0,0,0,1,6,0.024266,73
1,0,0,0,1,10,0.016833,63
1,0,0,0,1,20,0.011517,64
1,0,0,0,1,30,0.008815,65
1,0,0,0,2,3,0.000000,0
1,0,0,0,2,6,0.000000,0
1,0,0,0,2,10,0.000000,0
1,0,0,0,2,20,0.000000,1
1,0,0,0,2,30,0.000000,0
1,0,0,0,3,3,0.018289,23
1,0,0,0,3,6,0.000735,5
1,0,0,0,3,10,0.000789,6
1,0,0,0,3,20,0.000036,6
1,0,0,0,3,30,0.000157,8
1,0,0,0,4,3,0.014347,26
1,0,0,0,4,6,0.002579,3
1,0,0,0,4,10,0.000840,5
1,0,0,0,4,20,0.000174,6
1,0,0,0,4,30,0.000094,5
1,0,2,0,0,3,0.040817,507
1,0,2,0,0,6,0.019530,36
1,0,2,0,0,10,0.018603,42
1,0,2,0,0,20,0.017987,34
1,0,2,0,0,30,0.010040,30
1,0,2,0,1,3,0.036332,67
1,0,2,0,1,6,0.006310,16
1,0,2,0,1,10,0.007344,15
1,0,2,0,1,20,0.003519,13
1,0,2,0,1,30,0.002295,11
1,0,2,0,2,3,0.035581,68
1,0,2,0,2,6,0.003826,16
1,0,2,0,2,10,0.001696,11
1,0,2,0,2,20,0.003321,12
1,0,2,0,2,30,0.003817,11
