scenario,policy,seed,delta_hedged_pnl,delta_fee_revenue,delta_lvr,delta_volume,delta_normal_hedged_pnl,delta_toxic_hedged_pnl
campbell_rl_normal,fixed_6bps,5026,-0.0155,-0.0146,0.0010,186.3489,-0.0155,0.0000
campbell_rl_normal,fixed_6bps,5027,-0.0128,-0.0139,-0.0011,182.3965,-0.0128,0.0000
campbell_rl_normal,fixed_6bps,5028,-0.0163,-0.0153,0.0010,182.3891,-0.0163,0.0000
campbell_rl_normal,fixed_6bps,5029,-0.0146,-0.0156,-0.0010,183.1139,-0.0146,0.0000
campbell_rl_normal,fixed_6bps,5030,-0.0134,-0.0111,0.0023,183.4927,-0.0134,0.0000
campbell_rl_normal,fixed_6bps,5031,-0.0098,-0.0126,-0.0027,179.2454,-0.0098,0.0000
campbell_rl_normal,fixed_6bps,5032,-0.0125,-0.0115,0.0010,178.5543,-0.0125,0.0000
campbell_rl_normal,fixed_6bps,5033,-0.0179,-0.0164,0.0014,188.0432,-0.0179,0.0000
campbell_rl_normal,fixed_6bps,5034,-0.0108,-0.0142,-0.0034,178.2577,-0.0108,0.0000
campbell_rl_normal,fixed_6bps,5035,-0.0125,-0.0134,-0.0009,181.8354,-0.0125,0.0000
campbell_rl_normal,fixed_6bps,5036,-0.0126,-0.0109,0.0016,182.2765,-0.0126,0.0000
campbell_rl_normal,fixed_6bps,5037,-0.0182,-0.0139,0.0043,191.1708,-0.0182,0.0000
campbell_rl_normal,fixed_6bps,5038,-0.0123,-0.0166,-0.0044,180.0874,-0.0123,0.0000
campbell_rl_normal,fixed_6bps,5039,-0.0156,-0.0163,-0.0007,181.0034,-0.0156,0.0000
campbell_rl_normal,fixed_6bps,5040,-0.0144,-0.0139,0.0005,184.6119,-0.0144,0.0000
campbell_rl_normal,fixed_6bps,5041,-0.0160,-0.0154,0.0005,186.1001,-0.0160,0.0000
campbell_rl_normal,fixed_6bps,5042,-0.0161,-0.0159,0.0002,183.7376,-0.0161,0.0000
campbell_rl_normal,fixed_6bps,5043,-0.0187,-0.0187,0.0000,188.2992,-0.0187,0.0000
campbell_rl_normal,fixed_6bps,5044,-0.0172,-0.0195,-0.0023,187.6596,-0.0172,0.0000
campbell_rl_normal,fixed_6bps,5045,-0.0188,-0.0129,0.0059,189.5264,-0.0188,0.0000
campbell_rl_normal,fixed_6bps,5046,-0.0182,-0.0171,0.0010,188.2964,-0.0182,0.0000
campbell_rl_normal,fixed_6bps,5047,-0.0124,-0.0146,-0.0022,183.3107,-0.0124,0.0000
campbell_rl_normal,fixed_6bps,5048,-0.0117,-0.0155,-0.0037,179.0746,-0.0117,0.0000
campbell_rl_normal,fixed_6bps,5049,-0.0153,-0.0174,-0.0020,185.3723,-0.0153,0.0000
campbell_rl_normal,fixed_6bps,5050,-0.0148,-0.0145,0.0003,180.5774,-0.0148,0.0000
campbell_rl_normal,fixed_6bps,5051,-0.0099,-0.0127,-0.0028,175.3751,-0.0099,0.0000
campbell_rl_normal,fixed_6bps,5052,-0.0156,-0.0175,-0.0018,184.4518,-0.0156,0.0000
campbell_rl_normal,fixed_6bps,5053,-0.0141,-0.0164,-0.0023,183.2743,-0.0141,0.0000
campbell_rl_normal,fixed_6bps,5054,-0.0179,-0.0190,-0.0011,184.7778,-0.0179,0.0000
campbell_rl_normal,fixed_6bps,5055,-0.0108,-0.0145,-0.0037,177.8354,-0.0108,0.0000
campbell_rl_normal,fixed_6bps,5056,-0.0142,-0.0139,0.0003,182.6364,-0.0142,0.0000
campbell_rl_normal,fixed_6bps,5057,-0.0147,-0.0196,-0.0048,183.3885,-0.0147,0.0000
campbell_rl_normal,fixed_6bps,5058,-0.0091,-0.0153,-0.0062,178.2513,-0.0091,0.0000
