elasticity,lambda,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,mean_retention,fund_demand_lost,final_external_price
E1_none,0,oracle_gap,5387,6.8876,0.6829,6.0011,10.0767,0.4158,0.8339,0.0312,0.8027,0.4181,1122.9515,35.7530,1158.7045,1440,168,0.779827,0.212816,1.000000,0.0000,1.040168
E1_none,0,oracle_gap,5388,6.8777,0.6744,6.0013,9.8548,0.4214,0.8274,0.0300,0.7974,0.4059,1125.9817,34.7208,1160.7025,1440,170,0.781932,0.204240,1.000000,0.0000,0.993589
E1_none,0,oracle_gap,5389,6.9107,0.6798,6.0006,9.4979,0.4188,0.8539,0.0329,0.8210,0.4351,1128.9511,37.2997,1166.2508,1440,168,0.783994,0.222022,1.000000,0.0000,1.051954
E1_none,0,oracle_gap,5390,6.8589,0.6512,6.0001,10.0181,0.4224,0.7988,0.0260,0.7729,0.3765,1131.1816,30.7692,1161.9509,1440,134,0.785543,0.229621,1.000000,0.0000,0.958722
E1_none,0,oracle_gap,5391,6.8919,0.6739,6.0010,10.1119,0.4212,0.8390,0.0297,0.8093,0.4178,1125.4301,33.8457,1159.2758,1440,160,0.781549,0.211536,1.000000,0.0000,1.005337
E1_none,0,oracle_gap,5392,6.8873,0.6594,6.0034,10.1582,0.4273,0.8370,0.0289,0.8081,0.4097,1115.2986,32.5016,1147.8002,1440,162,0.774513,0.200627,1.000000,0.0000,1.040799
E1_none,0,oracle_gap,5393,6.8898,0.6735,6.0012,10.1760,0.4169,0.8287,0.0297,0.7991,0.4119,1135.5406,34.3505,1169.8912,1440,160,0.788570,0.214691,1.000000,0.0000,1.005906
E1_none,0,oracle_gap,5394,6.8865,0.6637,6.0013,9.7210,0.4203,0.8253,0.0267,0.7986,0.4049,1134.7475,31.3501,1166.0976,1440,158,0.788019,0.198419,1.000000,0.0000,1.010848
E1_none,0,oracle_gap,5395,6.8763,0.6605,6.0002,9.5862,0.4169,0.8104,0.0271,0.7833,0.3935,1132.2034,32.1918,1164.3952,1440,156,0.786252,0.206357,1.000000,0.0000,0.958206
E1_none,0,oracle_gap,5396,6.8576,0.6537,6.0009,9.5944,0.4208,0.7971,0.0254,0.7717,0.3763,1131.7644,30.2163,1161.9806,1440,142,0.785947,0.212791,1.000000,0.0000,0.972310
E1_none,0,oracle_gap,5397,6.9126,0.6768,6.0003,9.4471,0.4207,0.8579,0.0311,0.8268,0.4372,1125.6791,35.1172,1160.7963,1440,179,0.781722,0.196186,1.000000,0.0000,1.026205
E1_none,0,oracle_gap,5398,6.8791,0.6718,6.0011,9.8251,0.4167,0.8224,0.0285,0.7939,0.4058,1118.7078,33.2214,1151.9292,1440,177,0.776880,0.187691,1.000000,0.0000,0.991429
E1_none,0,oracle_gap,5399,6.8691,0.6743,6.0020,10.5289,0.4091,0.8017,0.0304,0.7713,0.3927,1132.3046,36.2599,1168.5645,1440,150,0.786323,0.241733,1.000000,0.0000,0.944793
E1_none,0,oracle_gap,5400,6.8655,0.6608,6.0009,10.0431,0.4344,0.8280,0.0278,0.8002,0.3936,1119.6339,31.7754,1151.4093,1440,144,0.777524,0.220663,1.000000,0.0000,1.037683
E1_none,0,oracle_gap,5401,6.8977,0.6740,6.0025,9.8452,0.4146,0.8317,0.0289,0.8028,0.4171,1139.1883,33.9687,1173.1570,1440,173,0.791103,0.196351,1.000000,0.0000,0.998705
E1_none,0,oracle_gap,5402,6.9052,0.6611,6.0014,10.3931,0.4234,0.8444,0.0293,0.8150,0.4210,1130.2812,33.3859,1163.6671,1440,155,0.784918,0.215393,1.000000,0.0000,1.065066
E1_none,0,oracle_gap,5403,6.8764,0.6572,6.0002,9.5954,0.4046,0.7898,0.0268,0.7630,0.3852,1142.8524,32.9617,1175.8142,1440,153,0.793648,0.215436,1.000000,0.0000,0.916251
E1_none,0,oracle_gap,5404,6.8928,0.6510,6.0000,9.4645,0.4352,0.8438,0.0262,0.8175,0.4086,1131.5832,29.9235,1161.5066,1440,143,0.785822,0.209255,1.000000,0.0000,1.043006
E1_none,0,oracle_gap,5405,6.9027,0.6726,6.0010,10.1122,0.4206,0.8467,0.0296,0.8171,0.4262,1125.0854,33.5225,1158.6079,1440,166,0.781309,0.201943,1.000000,0.0000,1.025447
E1_none,0,oracle_gap,5406,6.8804,0.6451,6.0009,9.5946,0.4287,0.8211,0.0240,0.7971,0.3924,1134.1154,28.1442,1162.2595,1440,144,0.787580,0.195446,1.000000,0.0000,0.981388
E1_none,0,oracle_gap,5407,6.8624,0.6558,6.0009,10.2871,0.4258,0.8098,0.0247,0.7851,0.3840,1128.1488,29.0354,1157.1842,1440,147,0.783437,0.197520,1.000000,0.0000,0.952085
