policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,lp_vs_hold_pct,fee_revenues,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price
fixed_6bps,5194,6.0000,0.4230,-0.1944,-0.0097,0.7891,0.3661,1359.4436,209,1440,0.972305,0.971916
fixed_6bps,5195,6.0000,0.4301,-0.0050,-0.0002,0.8098,0.3797,1333.3645,205,1440,1.004491,1.004089
fixed_6bps,5196,6.0000,0.4113,-1.3578,-0.0679,0.7752,0.3639,1339.6379,210,1440,0.927659,0.927288
fixed_6bps,5197,6.0000,0.4114,-0.0581,-0.0029,0.8005,0.3891,1348.0174,209,1440,0.984810,0.984416
fixed_6bps,5198,6.0000,0.4053,-0.5175,-0.0259,0.8211,0.4159,1337.3768,218,1440,1.046018,1.045599
fixed_6bps,5199,6.0000,0.4207,0.0000,0.0000,0.7996,0.3789,1351.0270,225,1440,0.999840,0.999440
fixed_6bps,5200,6.0000,0.4143,-0.8263,-0.0413,0.7951,0.3808,1331.3383,220,1440,0.943333,0.942956
fixed_6bps,5201,6.0000,0.4215,-0.0075,-0.0004,0.7998,0.3783,1319.6909,201,1440,0.994501,0.994102
fixed_6bps,5202,6.0000,0.4020,-0.0024,-0.0001,0.8089,0.4069,1348.5051,226,1440,1.003129,1.002728
fixed_6bps,5203,6.0000,0.4017,-0.1585,-0.0079,0.7916,0.3899,1341.8869,229,1440,0.974974,0.974584
fixed_6bps,5204,6.0000,0.4093,-0.0089,-0.0004,0.8021,0.3927,1337.9256,216,1440,0.994026,0.993628
fixed_6bps,5205,6.0000,0.4171,-0.0010,-0.0000,0.8130,0.3958,1334.0314,223,1440,1.002030,1.001629
fixed_6bps,5206,6.0000,0.4150,-0.3252,-0.0163,0.8221,0.4071,1337.5037,223,1440,1.036392,1.035977
fixed_6bps,5207,6.0000,0.4143,-0.0123,-0.0006,0.8062,0.3918,1335.2799,222,1440,1.007039,1.006636
fixed_6bps,5208,6.0000,0.4155,-0.3175,-0.0159,0.7932,0.3777,1339.8234,208,1440,0.964679,0.964292
fixed_6bps,5209,6.0000,0.4210,-0.0668,-0.0033,0.8110,0.3900,1336.7195,219,1440,1.016414,1.016007
fixed_6bps,5210,6.0000,0.4077,-0.0348,-0.0017,0.7978,0.3901,1344.8409,219,1440,1.011841,1.011436
fixed_6bps,5211,6.0000,0.3985,-0.0640,-0.0032,0.8196,0.4211,1360.3683,231,1440,1.016072,1.015665
