scenario,policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,fee_revenue,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price,normal_hedged_pnl,toxic_hedged_pnl,normal_steps,toxic_steps
campbell_rl_normal,tabular_rl,5335,6.3743,0.4924,-0.0985,0.8760,0.3836,1464.1579,140,1439,1.019970,1.018952,0.4924,0.0000,1440,0
campbell_rl_normal,tabular_rl,5336,6.2764,0.4851,-0.0137,0.8526,0.3676,1494.8555,152,1439,0.992612,0.992214,0.4851,0.0000,1440,0
campbell_rl_normal,tabular_rl,5337,6.5861,0.4718,-0.0734,0.9022,0.4303,1463.0755,143,1440,1.017228,1.016516,0.4718,0.0000,1440,0
campbell_rl_normal,tabular_rl,5338,6.5590,0.4839,-0.3743,0.8941,0.4101,1452.3937,142,1436,1.039068,1.038653,0.4839,0.0000,1440,0
campbell_rl_normal,tabular_rl,5339,6.6014,0.4761,-0.0176,0.8861,0.4100,1473.8432,146,1439,0.991610,0.991213,0.4761,0.0000,1440,0
campbell_rl_normal,tabular_rl,5340,6.4111,0.4753,-0.0030,0.8706,0.3953,1479.2895,152,1439,0.996492,0.995794,0.4753,0.0000,1440,0
campbell_rl_normal,tabular_rl,5341,6.5007,0.4681,-0.0848,0.8791,0.4110,1494.1691,149,1439,0.981659,0.981266,0.4681,0.0000,1440,0
campbell_rl_normal,tabular_rl,5342,6.4625,0.4845,-0.0174,0.8784,0.3940,1469.0734,141,1439,1.008360,1.007957,0.4845,0.0000,1440,0
campbell_rl_normal,tabular_rl,5343,6.2806,0.4984,-1.4274,0.9009,0.4025,1459.1652,171,1440,1.076991,1.076560,0.4984,0.0000,1440,0
campbell_rl_normal,tabular_rl,5344,6.5875,0.4746,-0.2603,0.8742,0.3996,1466.1063,139,1437,0.967990,0.967603,0.4746,0.0000,1440,0
campbell_rl_normal,tabular_rl,5345,6.2771,0.4806,-0.2311,0.8564,0.3758,1480.1343,142,1440,0.969820,0.969140,0.4806,0.0000,1440,0
campbell_rl_normal,tabular_rl,5346,6.5278,0.4873,-0.4233,0.9256,0.4383,1440.9137,146,1439,1.041572,1.041156,0.4873,0.0000,1440,0
campbell_rl_normal,tabular_rl,5347,6.4201,0.4621,-4.2221,0.8318,0.3697,1491.2386,115,1437,0.874266,0.873653,0.4621,0.0000,1440,0
campbell_rl_normal,tabular_rl,5348,6.5292,0.4795,-0.0851,0.8790,0.3995,1471.5794,138,1437,0.981629,0.981236,0.4795,0.0000,1440,0
campbell_rl_normal,tabular_rl,5349,6.3153,0.4913,-0.2071,0.8799,0.3886,1476.2520,148,1440,1.028995,1.028583,0.4913,0.0000,1440,0
campbell_rl_normal,tabular_rl,5350,6.3674,0.4811,-0.3972,0.8556,0.3745,1489.2934,138,1440,0.960534,0.960150,0.4811,0.0000,1440,0
campbell_rl_normal,tabular_rl,5351,6.2750,0.4844,-0.7533,0.8477,0.3634,1474.4668,131,1437,0.945861,0.945482,0.4844,0.0000,1440,0
campbell_rl_normal,tabular_rl,5352,6.2785,0.4992,-0.0356,0.8689,0.3697,1469.9385,125,1439,1.012013,1.013027,0.4992,0.0000,1440,0
campbell_rl_normal,tabular_rl,5353,6.3354,0.4941,-0.1200,0.8768,0.3827,1457.6576,133,1439,1.022040,1.021324,0.4941,0.0000,1440,0
campbell_rl_normal,tabular_rl,5354,6.4868,0.4794,-0.0002,0.8821,0.4027,1457.3733,147,1440,0.998929,0.998529,0.4794,0.0000,1440,0
campbell_rl_normal,tabular_rl,5355,6.3063,0.4905,-0.1157,0.8840,0.3935,1483.6162,147,1438,1.021630,1.021221,0.4905,0.0000,1440,0
campbell_rl_normal,tabular_rl,5356,6.3625,0.4945,-0.1506,0.8721,0.3776,1476.1514,130,1438,1.024701,1.024291,0.4945,0.0000,1440,0
campbell_rl_normal,tabular_rl,5357,6.4708,0.4778,-0.2421,0.8737,0.3960,1470.1099,131,1437,0.969121,0.968733,0.4778,0.0000,1440,0
campbell_rl_normal,tabular_rl,5358,6.5396,0.4822,-0.0848,0.8779,0.3956,1464.8606,135,1439,0.981652,0.980965,0.4822,0.0000,1440,0
campbell_rl_normal,tabular_rl,5359,6.4472,0.4715,-1.1286,0.8526,0.3810,1485.1632,133,1439,0.933937,0.933563,0.4715,0.0000,1440,0
campbell_rl_normal,tabular_rl,5360,6.3479,0.4838,-0.0144,0.8906,0.4068,1476.2495,152,1439,0.992397,0.991702,0.4838,0.0000,1440,0
campbell_rl_normal,tabular_rl,5361,6.4868,0.4881,-0.6392,0.8910,0.4029,1453.8189,149,1435,1.051211,1.050475,0.4881,0.0000,1440,0
campbell_rl_normal,tabular_rl,5362,6.3722,0.4765,-0.0452,0.8915,0.4150,1479.7691,174,1438,1.013498,1.013093,0.4765,0.0000,1440,0
campbell_rl_normal,tabular_rl,5363,6.5042,0.4886,-0.0248,0.8823,0.3937,1460.2252,117,1440,1.010033,1.009025,0.4886,0.0000,1440,0
campbell_rl_normal,tabular_rl,5364,6.2153,0.4798,-0.8323,0.8489,0.3691,1500.9103,142,1440,0.943132,0.942754,0.4798,0.0000,1440,0
campbell_rl_normal,tabular_rl,5365,6.2167,0.4875,-0.4505,0.8404,0.3529,1485.6470,131,1440,0.957995,0.957324,0.4875,0.0000,1440,0
campbell_rl_normal,tabular_rl,5366,6.5396,0.4989,-0.4885,0.8993,0.4004,1441.2356,132,1435,1.044697,1.043965,0.4989,0.0000,1440,0
campbell_rl_normal,tabular_rl,5367,6.6264,0.4915,-0.9279,0.9135,0.4220,1448.4791,134,1440,1.061852,1.061427,0.4915,0.0000,1440,0
campbell_rl_normal,tabular_rl,5368,6.4597,0.4772,-0.5667,0.9041,0.4269,1475.2063,166,1438,1.048184,1.047450,0.4772,0.0000,1440,0
campbell_rl_normal,tabular_rl,5369,6.6576,0.4881,-0.1943,0.9016,0.4136,1455.2413,151,1438,1.028079,1.027667,0.4881,0.0000,1440,0
campbell_rl_normal,tabular_rl,5370,6.7076,0.4749,-0.3851,0.8976,0.4227,1454.6856,132,1437,0.961136,0.960752,0.4749,0.0000,1440,0
