policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,91,1988.656680,1987.860740,-23.8708,-0.001195,0.00091576,6.0000,arb+fund,996960.5660,501.5244,1.073410,18.2702
fixed_6bps,92,1989.378497,1988.582268,-7.6293,-0.000382,0.00084813,6.0000,fund,997141.4815,501.4334,0.587273,18.3754
fixed_6bps,93,1990.498074,1989.701397,-9.6248,-0.000481,0.00085272,6.0000,fund,997422.0262,501.2923,0.647185,18.5667
fixed_6bps,94,1992.465118,1991.667654,-13.8709,-0.000694,0.00087046,6.0000,fund,997914.7393,501.0448,0.774723,19.0075
fixed_6bps,95,1991.189828,1990.392874,2.3997,0.000120,0.00088722,6.0000,fund,997595.3273,501.2052,0.287295,18.9819
fixed_6bps,96,1988.907835,1988.111794,7.4666,0.000373,0.00087976,6.0000,fund,997023.5187,501.4927,0.343085,19.0808
fixed_6bps,97,1992.459116,1991.661654,-21.8189,-0.001092,0.00091227,6.0000,arb+fund,997913.2361,501.0456,1.012925,20.2314
fixed_6bps,98,1994.530346,1993.732055,-14.3828,-0.000720,0.00092899,6.0000,fund,998431.7840,500.7853,0.790472,20.7085
fixed_6bps,99,1993.557799,1992.759897,0.8741,0.000044,0.00093003,6.0000,fund,998188.3332,500.9075,0.333156,20.6704
fixed_6bps,100,1992.707425,1991.909864,0.2633,0.000013,0.00092522,6.0000,fund,997975.4165,501.0143,0.351374,20.6306
fixed_6bps,101,1990.521290,1989.724604,6.9759,0.000349,0.00094956,6.0000,fund,997427.8429,501.2894,0.328544,20.7119
fixed_6bps,102,1993.712129,1992.914165,-20.0005,-0.001001,0.00097828,6.0000,arb+fund,998226.9695,500.8881,0.958721,21.6724
fixed_6bps,103,1995.927547,1995.128697,-15.0977,-0.000755,0.00098365,6.0000,fund,998781.4318,500.6100,0.812189,22.2025
fixed_6bps,104,1995.559164,1994.760461,-2.1571,-0.000108,0.00096803,6.0000,fund,998689.2562,500.6562,0.424162,22.1741
fixed_6bps,105,1992.424512,1991.627064,11.7242,0.000586,0.00104361,6.0000,fund,997904.5706,501.0499,0.470811,22.4767
fixed_6bps,106,1996.796215,1995.997017,-25.8872,-0.001296,0.00107001,6.0000,arb+fund,998998.7531,500.5011,1.136125,24.1151
fixed_6bps,107,1994.170213,1993.372066,9.1607,0.000458,0.00111861,6.0000,fund,998341.6415,500.8306,0.394267,24.2844
fixed_6bps,108,1993.633985,1992.836053,-1.3138,-0.000066,0.00112380,6.0000,fund,998207.4065,500.8979,0.398695,24.2487
